episode,env_steps,reward,ma100,epsilon,mean_loss,wall_clock_s
153,4081,50.0,29.62,0.7980400000000001,83.67464540481568,5.549
154,4099,18.0,29.71,0.797149,69.0856237411499,5.575
155,4159,60.0,30.1,0.794179,56.87375014623006,5.656
156,4175,16.0,30.09,0.7933870000000001,23.4150892496109,5.683
157,4190,15.0,30.1,0.7926445,181.59503587086996,5.704
158,4205,15.0,30.03,0.791902,138.5204039255778,5.725
159,4277,72.0,30.61,0.788338,78.21818259027269,5.838
160,4296,19.0,30.7,0.7873975,100.21729444202624,5.87
161,4334,38.0,30.82,0.7855165,109.07131951733639,5.926
162,4345,11.0,30.77,0.784972,82.32839159532027,5.941
163,4386,41.0,31.01,0.7829425,123.50552514704262,6.006
164,4412,26.0,30.91,0.7816555000000001,159.8432084597074,6.044
165,4453,41.0,31.17,0.779626,89.8102801718363,6.104
166,4474,21.0,31.21,0.7785865000000001,45.195923941476,6.134
167,4510,36.0,31.24,0.7768045,67.9147413306766,6.186
168,4638,128.0,31.82,0.7704685,131.89044799283147,6.364
169,4695,57.0,32.2,0.767647,79.26297097457082,6.445
170,4740,45.0,32.18,0.7654195,210.77325882381862,6.508
171,4773,33.0,32.27,0.763786,113.75707400928844,6.554
172,4789,16.0,32.03,0.762994,77.72344934940338,6.576
173,4810,21.0,32.02,0.7619545,159.8402848016648,6.605
174,4825,15.0,32.05,0.761212,86.82114143371582,6.627
175,4838,13.0,32.07,0.7605685,330.77721346341644,6.652
176,4886,48.0,32.06,0.7581925,165.7849648197492,6.728
177,4909,23.0,32.13,0.757054,261.575427096823,6.764
178,4923,14.0,31.88,0.756361,116.96805804116386,6.785
179,4936,13.0,31.82,0.7557175,127.43967070946327,6.804
180,4953,17.0,31.59,0.754876,262.1764268314137,6.828
181,5014,61.0,31.93,0.7518565,141.25495160212282,6.914
182,5072,58.0,32.37,0.7489855000000001,195.10804256899604,6.994
183,5183,111.0,33.2,0.743491,111.1390622972368,7.165
184,5235,52.0,33.56,0.740917,159.7646773961874,7.247
185,5257,22.0,33.26,0.739828,90.01299667358398,7.28
186,5287,30.0,33.44,0.738343,185.24210828145345,7.32
187,5351,64.0,33.77,0.7351749999999999,122.79472127556801,7.411
188,5433,82.0,34.03,0.731116,175.42219915622618,7.525
189,5468,35.0,33.78,0.7293835,165.2106834411621,7.574
190,5505,37.0,33.49,0.727552,228.99279063456768,7.624
191,5578,73.0,33.98,0.7239385,263.54129963704986,7.727
192,5631,53.0,34.19,0.721315,188.95906038104363,7.803
193,5647,16.0,33.71,0.720523,811.0555872917175,7.826
194,5760,113.0,34.65,0.7149295,269.5989588509619,7.982
195,5779,19.0,34.3,0.713989,336.2374685187089,8.007
196,5845,66.0,34.82,0.710722,285.564125104384,8.096
197,5881,36.0,34.9,0.70894,308.21327273050946,8.145
198,5953,72.0,35.47,0.705376,215.41147168477377,8.244
199,6115,162.0,36.89,0.697357,211.85332324769763,8.482
200,6134,19.0,36.93,0.6964165,265.74599938643604,8.51
201,6279,145.0,38.21,0.6892389999999999,360.6982016201677,8.738
202,6289,10.0,38.17,0.688744,240.85437088012696,8.759
203,6347,58.0,38.45,0.685873,252.97665872245,8.882
204,6376,29.0,38.61,0.6844375,436.80367160665577,8.928
205,6415,39.0,38.78,0.682507,376.5175066727858,8.991
206,6439,24.0,38.63,0.681319,265.0549826622009,9.031
207,6539,100.0,38.95,0.676369,423.9103427124023,9.183
208,6568,29.0,39.1,0.6749335000000001,426.55642174030174,9.229
209,6591,23.0,39.1,0.6737949999999999,415.99187635338825,9.262
210,6607,16.0,39.07,0.673003,241.55279898643494,9.285
211,6676,69.0,39.17,0.6695875,369.23001972143203,9.394
212,6758,82.0,39.51,0.6655285,470.00206798460425,9.531
213,6817,59.0,39.78,0.6626080000000001,413.564225988873,9.618
214,7031,214.0,41.77,0.652015,492.5051021397671,9.988
215,7078,47.0,41.33,0.6496885,466.1656848014669,10.057
216,7184,106.0,42.28,0.6444415,512.7897888039643,10.216
217,7195,11.0,42.15,0.6438969999999999,334.91519650545985,10.232
218,7337,142.0,43.33,0.636868,505.6049665531642,10.447
219,7378,41.0,43.61,0.6348385,765.1481855438976,10.505
220,7442,64.0,43.61,0.6316705,564.4472473859787,10.608
221,7485,43.0,43.71,0.629542,323.76347830129225,10.672
222,7517,32.0,43.89,0.627958,465.8751301765442,10.719
223,7694,177.0,45.54,0.6191965,615.1796149129922,11.03
224,7844,150.0,46.83,0.6117715,582.3555764770508,11.288
225,7907,63.0,47.21,0.608653,571.6935263739692,11.378
226,7969,62.0,47.46,0.605584,919.2728559432492,11.473
227,8147,178.0,48.69,0.596773,520.7863263333782,11.744
228,8227,80.0,49.36,0.592813,607.4461050987244,11.854
229,8428,201.0,51.14,0.5828635,520.7382138759936,12.145
230,8524,96.0,51.84,0.5781115000000001,595.7410119771957,12.281
231,8706,182.0,53.51,0.5691025,725.6859475858919,12.554
232,8761,55.0,53.9,0.56638,1178.4384932084517,12.638
233,8933,172.0,55.43,0.557866,851.2434403175531,12.889
234,9096,163.0,56.83,0.5497974999999999,669.7534183431989,13.122
235,9154,58.0,57.15,0.5469265,1369.8392660206762,13.204
236,9634,480.0,61.76,0.5231665,1016.5793730815252,13.958
237,9854,220.0,62.98,0.5122765,882.3177720503373,14.28
238,10218,364.0,66.5,0.49425849999999993,935.9314233968546,14.801
239,10462,244.0,68.76,0.4821805,1866.3093579714416,15.177
240,10923,461.0,73.22,0.459361,1071.590796861628,15.845
241,11019,96.0,73.81,0.45460900000000004,1152.7786273956299,15.988
242,11273,254.0,76.06,0.442036,1254.2821886558233,16.376
243,11376,103.0,76.77,0.4369375,1122.4928808119691,16.526
244,11627,251.0,78.59,0.4245129999999999,1168.5841444707012,16.898
245,11742,115.0,79.6,0.41882050000000004,1791.8439287932022,17.079
246,11756,14.0,79.28,0.4181275,622.5381426130023,17.099
247,11804,48.0,79.22,0.41575150000000005,1405.1633087793987,17.17
248,11861,57.0,79.4,0.41293,832.3888399224533,17.254
249,12084,223.0,81.3,0.40189150000000007,1019.5545304131615,17.643
250,12403,319.0,84.33,0.386101,1155.7564121951877,18.094
251,12663,260.0,86.54,0.373231,1374.5736478071947,18.454
252,12907,244.0,88.76,0.36115300000000006,922.2306031399086,18.816
253,13098,191.0,90.17,0.3516984999999999,803.1193022003973,19.094
254,13326,228.0,92.27,0.3404125,752.5495374244556,19.413
255,13550,224.0,93.91,0.3293245,1379.3327284881047,19.729
256,13764,214.0,95.89,0.31873149999999995,1108.3394786799065,20.039
257,13975,211.0,97.85,0.308287,1071.6043656516415,20.375
258,14262,287.0,100.57,0.2940805000000001,905.4980503574066,20.79
259,14457,195.0,101.8,0.284428,591.3285294752854,21.102
260,14712,255.0,104.16,0.2718054999999999,941.0063403709262,21.519
261,15015,303.0,106.81,0.256807,1008.5524402970922,21.995
262,15333,318.0,109.88,0.2410660000000001,542.2127611082304,22.458
263,15596,263.0,112.1,0.22804749999999996,697.5748304105983,22.885
264,15637,41.0,112.25,0.22601799999999994,1261.9072481713645,22.944
265,15873,236.0,114.2,0.21433600000000008,930.8641621217889,23.28
266,16103,230.0,116.29,0.202951,479.33301504798555,23.609
267,16346,243.0,118.36,0.1909225,781.0804112889639,23.963
268,16714,368.0,120.76,0.17270649999999999,393.8575301299924,24.572
269,17113,399.0,124.18,0.15295599999999998,495.5857771679871,25.23
270,17287,174.0,125.47,0.144343,399.3650918637199,25.497
271,17500,213.0,127.27,0.13379949999999996,697.768569256778,25.806
272,18000,500.0,132.11,0.10904950000000002,289.13183141613007,26.549
273,18493,493.0,136.83,0.084646,183.1007169284395,27.301
274,18993,500.0,141.68,0.05989600000000006,219.95764458560944,28.04
275,19203,210.0,143.65,0.04950100000000002,248.1061026482355,28.349
276,19703,500.0,148.17,0.02475100000000008,172.97765804862976,29.108
277,19898,195.0,149.89,0.015098500000000015,232.5395661354065,29.426
278,20398,500.0,154.75,0.01,155.32718234586716,30.168
279,20643,245.0,157.07,0.01,88.76936504305625,30.54
280,21143,500.0,161.9,0.01,74.40335591197014,31.299
281,21638,495.0,166.24,0.01,64.21933434996942,32.124
282,22138,500.0,170.66,0.01,77.82541289842129,32.935
283,22638,500.0,174.55,0.01,42.17160314369202,33.774
284,23138,500.0,179.03,0.01,26.836910056233407,34.53
285,23638,500.0,183.81,0.01,33.21221106886864,35.325
286,24138,500.0,188.51,0.01,23.01190793275833,37.373
287,24638,500.0,192.87,0.01,13.11130854511261,39.779
288,25138,500.0,197.05,0.01,10.898841209530831,42.65
289,25638,500.0,201.7,0.01,11.283255772829056,45.309
290,26138,500.0,206.33,0.01,9.036145407795907,48.094
291,26638,500.0,210.6,0.01,16.85006154483557,50.748
292,27138,500.0,215.07,0.01,5.100776268005371,53.525
293,27638,500.0,219.91,0.01,3.963199419617653,56.275
294,28138,500.0,223.78,0.01,6.335835080862045,58.889
295,28638,500.0,228.59,0.01,2.0178983363807204,61.615
296,29138,500.0,232.93,0.01,2.479458786100149,64.619
297,29638,500.0,237.57,0.01,2.9441632272154092,67.549
298,30138,500.0,241.85,0.01,2.2860608504116535,70.325
299,30638,500.0,245.23,0.01,2.745832284748554,72.917
300,31138,500.0,250.04,0.01,0.5554466830343008,75.887
301,31638,500.0,253.59,0.01,0.42593948750197885,78.705
302,32138,500.0,258.49,0.01,0.31191773220151664,81.403
303,32271,133.0,259.24,0.01,0.2858381426816148,82.087
304,32378,107.0,260.02,0.01,0.32081497545902415,82.58
305,32580,202.0,261.65,0.01,0.3770681419548127,83.633
306,32960,380.0,265.21,0.01,4.820377818583266,85.505
307,33063,103.0,265.24,0.01,1.0344148227239696,86.086
308,33093,30.0,265.25,0.01,5.956341567635536,86.269
309,33115,22.0,265.24,0.01,1.3790422935377469,86.382
310,33225,110.0,266.18,0.01,1.8317841118032283,86.902
311,33500,275.0,268.24,0.01,13.168630551262336,88.354
312,34000,500.0,272.42,0.01,6.262046227395534,91.469
313,34500,500.0,276.83,0.01,6.236087074384093,94.283
314,34709,209.0,276.78,0.01,7.625229534064753,95.296
315,35209,500.0,281.31,0.01,3.41771839697659,97.963
316,35709,500.0,285.25,0.01,9.389503725409508,100.745
317,35863,154.0,286.68,0.01,4.5998178379876276,101.5
318,36010,147.0,286.73,0.01,15.891270560877663,102.284
319,36136,126.0,287.58,0.01,4.622640155374058,102.976
320,36636,500.0,291.94,0.01,5.544369666337967,105.738
321,37136,500.0,296.51,0.01,5.682530348777771,108.362
322,37636,500.0,301.19,0.01,6.327253597289324,111.088
323,38136,500.0,304.42,0.01,8.975711308509112,113.759
324,38636,500.0,307.92,0.01,4.5692925779521465,116.898
325,39136,500.0,312.29,0.01,9.161481051832437,119.775
326,39636,500.0,316.67,0.01,7.6650588025450705,122.625
327,40136,500.0,319.89,0.01,7.123935802340507,125.354
328,40636,500.0,324.09,0.01,7.230003433346749,127.179
329,41136,500.0,327.08,0.01,8.74441367673874,128.091
330,41636,500.0,331.12,0.01,6.6997655809223655,128.85
331,42136,500.0,334.3,0.01,5.864046900331974,129.686
332,42404,268.0,336.43,0.01,5.710882707318263,130.104
333,42904,500.0,339.71,0.01,4.85280251711607,130.919
334,43404,500.0,343.08,0.01,6.421969249904156,131.733
335,43876,472.0,347.22,0.01,2.9347013826403074,132.434
336,44051,175.0,344.17,0.01,2.181643551673208,132.714
337,44261,210.0,344.07,0.01,6.8775613285955925,133.071
338,44380,119.0,341.62,0.01,2.5471618115401067,133.287
339,44550,170.0,340.88,0.01,5.329559301102862,133.565
340,44696,146.0,337.73,0.01,17.106963392806378,133.797
341,44832,136.0,338.13,0.01,18.985964710988544,134.014
342,45199,367.0,339.26,0.01,15.500762403660964,134.623
343,45422,223.0,340.46,0.01,28.99113132841384,134.972
344,45922,500.0,342.95,0.01,14.175200591146947,135.763
345,46422,500.0,346.8,0.01,13.294966199994088,136.621
346,46922,500.0,351.66,0.01,20.538171103954316,137.38
347,47422,500.0,356.18,0.01,15.785781474173069,138.131
348,47922,500.0,360.61,0.01,26.871267737746237,138.902
349,48422,500.0,363.38,0.01,15.584165962696076,139.675
350,48922,500.0,365.19,0.01,13.31270803296566,140.428
351,49422,500.0,367.59,0.01,11.604553397774696,141.209
352,49922,500.0,370.15,0.01,11.036802926778794,141.969
353,50422,500.0,373.24,0.01,14.30409676975012,142.765
354,50922,500.0,375.96,0.01,24.256556079506876,143.55
355,51422,500.0,378.72,0.01,22.09386735767126,144.352
356,51922,500.0,381.58,0.01,15.124409639179706,145.167
357,52422,500.0,384.47,0.01,20.371765671491623,147.011
